metric_1,metric_2,metric_3,metric_4,metric_5,metric_6
-0.1441,-0.1729,-0.1113,0.7020,-0.1276,-1.4974
0.3323,-0.2673,-0.2170,0.1159,0.2323,1.1636
0.6566,0.1105,-0.7383,-1.0147,0.2463,1.3111
0.0417,-0.1063,0.5318,-1.4535,-0.3123,0.4904
0.8734,-0.2406,0.3766,0.2482,0.7823,-1.1132
0.5683,-1.5145,-2.6199,-0.6069,-0.9158,0.8760
0.6643,-1.2191,0.8474,-1.0022,-0.0862,-0.2939
0.1144,0.8186,0.6384,0.3499,0.6499,0.4785
-0.6270,-0.7174,-0.4700,0.4993,-0.2501,2.3358
-0.8193,-1.0989,0.7685,1.4218,0.5057,0.8358
1.4263,-0.0940,-1.4230,-0.5321,0.9529,-1.4437
0.0335,0.2532,-0.3156,0.7236,0.5808,2.3214
0.6200,-0.6094,-0.5618,-0.8316,0.9523,-0.5668
-0.0703,0.7493,-0.7235,-0.2937,-1.8413,-1.0825
-0.5677,0.4158,1.1935,-0.0185,0.2614,0.1680
1.0847,0.8934,0.2737,-1.0109,0.9034,0.3810
1.2269,-0.0299,1.9531,-0.3589,1.5931,0.1151
-0.5163,-1.1284,-0.1510,1.4233,0.8164,0.6889
-2.3759,0.7110,0.5559,-0.5499,-0.6274,-0.0023
1.7249,-1.0551,-0.4278,1.3618,-0.4462,-0.3643
0.0978,-1.2413,0.2199,-1.2096,0.8852,0.0032
2.2834,0.2808,1.3657,-1.3033,-0.1221,0.3231
1.7457,-1.6809,0.9906,0.5914,1.5335,0.7124
0.0521,-0.5216,-1.2482,0.1954,-0.1917,2.0203
-0.6110,0.3204,-1.5690,-0.3955,0.2611,0.8240
1.4481,-0.0441,-1.1172,0.4579,0.5170,0.4917
-0.7003,1.1334,0.0879,0.6998,1.2741,0.6093
0.2865,2.1528,0.2437,-0.2960,0.1120,1.4828
0.1187,0.5194,1.1957,-0.5129,-1.7266,0.2994
0.2297,-0.6080,0.8711,0.6076,-0.9950,0.5182
-0.1961,-1.4830,0.4530,-0.0452,-0.7453,0.5229
0.4881,-0.5775,0.4004,1.0151,-0.7127,0.3809
0.0028,2.2660,-1.8623,0.6953,-0.3062,-0.1002
1.9016,-0.0086,2.2409,-0.4421,0.3505,-0.4908
-0.6907,0.0625,-0.2826,0.2025,-2.1050,2.0025
-0.1670,1.7429,-1.0071,0.2925,3.1649,-0.8697
-1.4953,-0.5465,0.4725,0.6933,1.2904,-0.2570
-1.6023,-0.4350,1.2402,0.4657,-1.9569,-0.0351
1.3982,2.1265,0.5617,0.3093,-1.2402,-0.8432
0.0469,0.5032,0.5802,-0.4782,-1.1519,-0.7778
-1.1570,0.6434,-2.3123,-0.3333,0.4499,1.5220
0.0713,1.0013,-0.3990,-0.7444,-0.6744,1.5273
0.9942,0.4874,3.3303,-0.0323,0.6203,0.3076
-0.2219,2.3162,1.5066,-1.3995,-0.3998,0.4283
0.7832,-1.3484,-2.2556,-1.9064,-0.0711,-0.1032
0.3452,-0.7697,-1.2242,-2.0230,0.3292,0.3701
0.9930,0.7908,-0.1907,1.3493,-0.1364,-0.6608
-0.5206,-0.5848,-2.1657,0.1563,0.2499,-0.3623
-0.7138,0.3718,1.7169,0.0383,-0.5076,-0.5914
-0.0698,-1.2648,-0.1253,0.0612,1.8447,0.9435
1.0340,-0.7129,0.6699,-1.1394,0.3120,0.4187
-0.7664,1.9994,0.5674,-1.9027,0.5529,-0.4074
0.0014,0.4658,0.3905,-2.0392,-1.1583,0.7726
1.3012,1.9032,1.8032,-2.0555,0.7695,-1.9163
1.6136,0.2533,-1.1412,2.0099,0.6440,-1.8911
0.2935,-0.7311,0.1113,-0.4652,1.3735,-1.4233
0.3174,1.8142,-0.8270,0.2106,0.2020,-0.6897
0.6479,0.0971,-0.9438,1.7620,0.7916,-0.1671
-0.6367,-0.7844,1.2309,-0.1465,0.4594,-0.1845
0.6164,-0.1160,0.7639,-0.1832,0.8296,0.6724
-0.1166,-0.8598,-0.9401,-0.7407,-0.9845,0.8658
-0.0466,1.5701,2.2793,0.0242,-1.5480,-0.3815
-0.0753,-1.4884,-0.2505,0.2869,-0.4594,-0.7684
-0.7588,1.7867,-0.1596,-0.8299,-0.3729,0.9543
-0.6847,0.4818,0.7279,0.7491,1.3997,-0.5505
1.1327,-0.7929,-0.3965,1.1961,0.8224,0.0021
-1.1914,0.5617,-0.6304,-0.9239,-0.6481,0.2465
-2.1210,0.3608,0.1739,-0.5845,1.0369,0.6114
-0.6063,-0.6700,0.6952,-1.5161,-0.3326,-0.6310
0.0699,0.2111,0.0368,1.1348,0.2281,-0.3150
-1.2109,0.7218,0.5281,1.4508,-0.7475,0.0264
-0.0587,-0.0876,0.0104,-1.7145,0.8250,0.6532
1.1305,2.2496,-0.3190,-0.0361,0.0098,1.9422
-1.7312,0.4858,-1.4708,-2.5816,-2.0208,-1.3818
1.0690,-0.8684,-0.2275,-1.1635,0.6110,-1.1020
1.3177,-0.9931,-0.7648,0.1227,0.0247,1.4247
0.1204,-1.2078,-0.5603,-0.5728,0.7250,0.3838
-0.1194,0.8696,-0.5285,-0.1362,0.1808,1.5282
-0.0985,-0.3508,-1.0458,0.6861,-0.5876,0.3437
-1.9016,1.0432,-1.3319,-0.7773,1.0586,-1.3345
-0.0795,0.0743,-0.9986,1.3429,1.4988,-1.9716
-1.4490,0.8082,-1.3030,-0.3886,0.1296,0.6919
-0.2233,0.0952,-0.7767,1.2924,-0.4953,0.3397
-0.5116,0.1063,-0.1682,-0.1625,-1.0138,0.7964
1.4140,0.2431,0.7323,0.8381,0.9280,0.3034
0.2123,0.8640,0.0688,-0.9739,0.0238,-1.8884
-0.0059,0.4134,1.2360,0.1513,0.9281,-0.0005
-1.0235,-1.4114,-0.9697,-1.3661,0.6337,-0.2076
0.5703,0.0734,1.0440,1.0602,-0.6453,-0.2743
-0.5328,-1.6213,0.6752,1.1888,-0.0064,-0.4932
1.0909,-2.3450,0.1775,0.1433,-0.5709,1.3916
0.9707,-0.2612,-0.0867,-0.3880,-0.5121,-1.3082
1.3799,1.0280,0.7982,-1.0943,2.0808,1.9802
0.1881,-0.9042,-0.8664,0.4185,-0.9130,-0.0342
1.0886,-1.5068,2.0057,1.5667,-1.2371,-1.4136
-0.2834,-1.0311,-0.2637,-2.5812,-0.2287,1.8029
-1.1166,-0.2731,-1.4896,0.6382,-0.2253,1.9407
0.2068,-0.3722,0.5503,-0.5062,-1.3393,0.3019
-0.1749,0.1663,0.3755,-0.5103,0.4216,1.7377
-1.1078,1.7374,-0.2428,-0.7666,2.4272,0.1550
1.3704,0.8176,-1.6806,0.1208,-0.5253,-1.3418
-1.7717,0.1023,0.5903,0.3907,-0.3058,-0.7985
-0.9869,-0.5552,-1.0331,-0.2033,-0.0229,-0.8960
-0.2321,-0.7603,-0.0045,0.5071,0.1781,0.4722
-1.6520,-0.3787,0.2767,0.6412,-1.5980,0.1592
1.2064,-0.1786,-0.0948,0.4505,0.2471,0.6746
0.0724,0.1525,-0.7824,-0.1704,1.2531,-0.2042
-0.1686,-0.4915,0.7872,-0.8547,0.9105,-0.9370
-1.0578,0.2059,0.1302,0.2976,1.0625,-0.4125
0.4430,-0.9098,1.2592,0.6325,0.5365,0.1879
-0.7856,-0.3274,0.5018,-0.0192,0.1237,-1.3598
0.1811,-0.6919,-1.0833,-0.1547,-1.8565,0.6986
0.8520,-0.0534,-0.9938,-0.9454,-0.1511,-2.4237
0.1805,0.6644,-0.3119,-0.4944,0.1820,0.3506
1.0942,0.0184,-0.6898,-0.4613,0.1819,1.5562
-0.3203,-1.0525,-0.8701,-2.0963,0.3298,-1.3613
-1.2335,-1.9760,-1.1180,0.5684,-1.3114,-1.7496
0.1783,-0.3412,0.4322,0.7406,-0.0085,-1.2978
-0.1238,0.5003,-0.5830,-1.4375,1.1026,-0.4152
-0.4092,0.0160,1.0305,0.2636,-0.3332,0.6821
2.1470,1.3878,0.6729,-1.1223,3.7521,-1.1987
-0.3718,-0.6999,1.6269,0.4202,-1.4271,0.2676
0.5469,-0.3185,-1.2202,-0.7250,-0.4368,0.0227
-0.5199,0.7352,-0.9499,-1.7314,-0.7394,1.3489
-0.5732,2.3408,0.4915,-1.1644,-0.8343,0.2434
-1.1776,2.3746,-0.9909,0.6809,1.4601,-0.1092
-0.9959,-0.2731,0.3622,0.8758,0.0567,-1.4002
0.0423,-0.6734,-2.1832,-0.6976,-1.4325,0.5869
1.9442,1.8588,-0.5732,-0.4674,0.6888,1.0613
-0.4187,-0.1426,2.2069,-0.1075,-0.4853,0.1199
0.5797,-1.0216,-0.2484,-1.1664,-0.2783,1.8769
0.7417,-0.0925,-0.9331,-0.3114,1.0507,-0.5617
1.4504,-1.3736,-0.2900,1.7428,-2.0078,1.1884
-1.8514,-0.0901,-0.1725,0.8243,-3.1545,-1.9178
-0.5660,0.0369,-0.8932,-0.2209,-1.1862,-0.4013
