metric_1,metric_2,metric_3,metric_4,metric_5,metric_6,status
-0.1441,-0.1729,-0.1113,0.7020,-0.1276,-1.4974,nominal
0.3323,-0.2673,-0.2170,0.1159,0.2323,1.1636,nominal
0.6566,0.1105,-0.7383,-1.0147,0.2463,1.3111,nominal
0.0417,-0.1063,0.5318,-1.4535,-0.3123,0.4904,nominal
0.8734,-0.2406,0.3766,0.2482,0.7823,-1.1132,nominal
0.5683,-1.5145,-2.6199,-0.6069,-0.9158,0.8760,nominal
0.6643,-1.2191,0.8474,-1.0022,-0.0862,-0.2939,nominal
0.1144,0.8186,0.6384,0.3499,0.6499,0.4785,nominal
-0.6270,-0.7174,-0.4700,0.4993,-0.2501,2.3358,nominal
-0.8193,-1.0989,0.7685,1.4218,0.5057,0.8358,nominal
1.4263,-0.0940,-1.4230,-0.5321,0.9529,-1.4437,nominal
0.0335,0.2532,-0.3156,0.7236,0.5808,2.3214,nominal
0.6200,-0.6094,-0.5618,-0.8316,0.9523,-0.5668,nominal
-0.0703,0.7493,-0.7235,-0.2937,-1.8413,-1.0825,nominal
-0.5677,0.4158,1.1935,-0.0185,0.2614,0.1680,nominal
1.0847,0.8934,0.2737,-1.0109,0.9034,0.3810,nominal
1.2269,-0.0299,1.9531,-0.3589,1.5931,0.1151,nominal
-0.5163,-1.1284,-0.1510,1.4233,0.8164,0.6889,nominal
-2.3759,0.7110,0.5559,-0.5499,-0.6274,-0.0023,nominal
1.7249,-1.0551,-0.4278,1.3618,-0.4462,-0.3643,nominal
0.0978,-1.2413,0.2199,-1.2096,0.8852,0.0032,nominal
2.2834,0.2808,1.3657,-1.3033,-0.1221,0.3231,nominal
1.7457,-1.6809,0.9906,0.5914,1.5335,0.7124,nominal
0.0521,-0.5216,-1.2482,0.1954,-0.1917,2.0203,nominal
-0.6110,0.3204,-1.5690,-0.3955,0.2611,0.8240,nominal
1.4481,-0.0441,-1.1172,0.4579,0.5170,0.4917,nominal
-0.7003,1.1334,0.0879,0.6998,1.2741,0.6093,nominal
0.2865,2.1528,0.2437,-0.2960,0.1120,1.4828,nominal
0.1187,0.5194,1.1957,-0.5129,-1.7266,0.2994,nominal
0.2297,-0.6080,0.8711,0.6076,-0.9950,0.5182,nominal
-0.1961,-1.4830,0.4530,-0.0452,-0.7453,0.5229,nominal
0.4881,-0.5775,0.4004,1.0151,-0.7127,0.3809,nominal
0.0028,2.2660,-1.8623,0.6953,-0.3062,-0.1002,nominal
1.9016,-0.0086,2.2409,-0.4421,0.3505,-0.4908,nominal
-0.6907,0.0625,-0.2826,0.2025,-2.1050,2.0025,nominal
-0.1670,1.7429,-1.0071,0.2925,3.1649,-0.8697,nominal
-1.4953,-0.5465,0.4725,0.6933,1.2904,-0.2570,nominal
